timestamp,open,high,low,close,volume,datetime_utc
1767225600000,87648.21,87816.0,87632.74,87776.18,110.21126,2026-01-01 00:00:00+00:00
1767227400000,87776.19,87849.26,87733.98,87809.23,123.4491,2026-01-01 00:30:00+00:00
1767229200000,87809.24,88050.0,87809.23,87875.22,164.0221,2026-01-01 01:00:00+00:00
1767231000000,87875.23,88015.89,87841.99,87960.0,77.41952,2026-01-01 01:30:00+00:00
1767232800000,87960.01,88088.1,87901.83,87957.63,100.51791,2026-01-01 02:00:00+00:00
1767234600000,87957.63,88052.6,87895.37,87914.0,109.04069,2026-01-01 02:30:00+00:00
1767236400000,87914.0,88015.7,87887.28,87930.65,86.70886,2026-01-01 03:00:00+00:00
1767238200000,87930.65,87952.71,87832.09,87846.02,62.37468,2026-01-01 03:30:00+00:00
1767240000000,87846.01,87854.81,87552.56,87632.26,166.2509,2026-01-01 04:00:00+00:00
1767241800000,87632.26,87670.07,87550.43,87590.4,309.92811,2026-01-01 04:30:00+00:00
1767243600000,87590.41,87724.84,87590.4,87708.11,115.23003,2026-01-01 05:00:00+00:00
1767245400000,87708.11,87749.34,87639.63,87704.39,167.94433,2026-01-01 05:30:00+00:00
1767247200000,87704.39,87704.39,87636.29,87656.8,79.25779,2026-01-01 06:00:00+00:00
1767249000000,87656.8,87669.1,87656.79,87658.0,44.63877,2026-01-01 06:30:00+00:00
1767250800000,87658.01,87672.2,87596.0,87605.68,68.5032,2026-01-01 07:00:00+00:00
1767252600000,87605.68,87673.01,87605.67,87631.88,156.77172,2026-01-01 07:30:00+00:00
1767254400000,87631.88,87811.13,87631.87,87739.53,166.6182,2026-01-01 08:00:00+00:00
1767256200000,87739.53,87778.95,87700.15,87770.9,118.59925,2026-01-01 08:30:00+00:00
1767258000000,87770.89,87965.25,87751.82,87836.02,143.24858,2026-01-01 09:00:00+00:00
1767259800000,87836.01,87878.0,87836.01,87877.99,66.98105,2026-01-01 09:30:00+00:00
1767261600000,87877.99,87883.8,87799.17,87851.26,81.50006,2026-01-01 10:00:00+00:00
1767263400000,87851.26,87880.0,87840.0,87863.76,46.57374,2026-01-01 10:30:00+00:00
1767265200000,87863.75,87983.22,87859.36,87926.18,98.85367,2026-01-01 11:00:00+00:00
1767267000000,87926.19,88024.64,87880.0,88024.64,97.45038,2026-01-01 11:30:00+00:00
1767268800000,88024.64,88036.42,87951.51,88004.81,102.63964,2026-01-01 12:00:00+00:00
1767270600000,88004.81,88004.82,87925.28,87950.0,97.49592,2026-01-01 12:30:00+00:00
1767272400000,87950.0,88019.82,87892.0,87987.1,64.59984,2026-01-01 13:00:00+00:00
1767274200000,87987.11,87989.0,87860.66,87922.64,91.12899,2026-01-01 13:30:00+00:00
1767276000000,87922.63,87966.71,87827.49,87872.25,259.31978,2026-01-01 14:00:00+00:00
1767277800000,87872.24,87970.59,87810.66,87967.05,130.69553,2026-01-01 14:30:00+00:00
1767279600000,87967.05,88081.0,87916.39,88007.12,120.42772,2026-01-01 15:00:00+00:00
1767281400000,88007.12,88113.45,87944.95,88032.18,139.58462,2026-01-01 15:30:00+00:00
1767283200000,88032.17,88048.7,87879.03,87954.34,123.16267,2026-01-01 16:00:00+00:00
1767285000000,87954.34,87992.37,87940.52,87988.76,66.83209,2026-01-01 16:30:00+00:00
1767286800000,87988.77,88272.0,87976.0,88255.49,144.43904,2026-01-01 17:00:00+00:00
1767288600000,88255.48,88500.0,88255.48,88316.37,331.6465,2026-01-01 17:30:00+00:00
1767290400000,88316.38,88364.0,88105.08,88105.08,191.62013,2026-01-01 18:00:00+00:00
1767292200000,88105.08,88213.22,88105.08,88193.94,65.97153,2026-01-01 18:30:00+00:00
1767294000000,88193.94,88193.95,88062.32,88166.75,104.13153,2026-01-01 19:00:00+00:00
1767295800000,88166.75,88431.23,88166.75,88391.15,112.5315,2026-01-01 19:30:00+00:00
1767297600000,88391.16,88391.16,88307.27,88364.33,69.65605,2026-01-01 20:00:00+00:00
1767299400000,88364.33,88364.34,88240.0,88258.12,65.73922,2026-01-01 20:30:00+00:00
1767301200000,88258.12,88447.84,88254.08,88377.04,81.98155,2026-01-01 21:00:00+00:00
1767303000000,88377.05,88398.06,88297.15,88377.67,86.5905,2026-01-01 21:30:00+00:00
1767304800000,88377.67,88594.62,88377.67,88532.74,300.02293,2026-01-01 22:00:00+00:00
1767306600000,88532.74,88699.99,88429.1,88645.57,174.20761,2026-01-01 22:30:00+00:00
1767308400000,88645.57,88791.22,88474.63,88735.06,361.01037,2026-01-01 23:00:00+00:00
1767310200000,88735.06,88919.45,88735.06,88839.04,232.04217,2026-01-01 23:30:00+00:00
1767312000000,88839.05,88890.09,88594.39,88715.27,225.48796,2026-01-02 00:00:00+00:00
1767313800000,88715.26,88887.83,88650.34,88833.97,223.23962,2026-01-02 00:30:00+00:00
1767315600000,88833.96,88877.12,88681.0,88690.0,114.42757,2026-01-02 01:00:00+00:00
1767317400000,88690.01,88710.48,88525.73,88639.89,127.95916,2026-01-02 01:30:00+00:00
1767319200000,88639.89,88665.1,88379.88,88421.94,150.85526,2026-01-02 02:00:00+00:00
1767321000000,88421.95,88643.38,88412.35,88637.03,102.95526,2026-01-02 02:30:00+00:00
1767322800000,88637.02,88978.28,88573.64,88879.49,233.95682,2026-01-02 03:00:00+00:00
1767324600000,88879.49,89120.01,88844.01,88950.65,436.17971,2026-01-02 03:30:00+00:00
1767326400000,88950.64,88992.0,88692.83,88736.79,167.85579,2026-01-02 04:00:00+00:00
1767328200000,88736.79,88837.04,88629.0,88637.64,119.60908,2026-01-02 04:30:00+00:00
1767330000000,88637.64,88760.0,88583.52,88583.52,84.32942,2026-01-02 05:00:00+00:00
1767331800000,88583.53,88787.56,88576.56,88765.2,139.58667,2026-01-02 05:30:00+00:00
1767333600000,88765.21,88924.33,88715.44,88922.22,156.34791,2026-01-02 06:00:00+00:00
1767335400000,88922.22,89079.44,88920.26,88935.04,135.01715,2026-01-02 06:30:00+00:00
1767337200000,88935.05,89068.62,88862.38,88903.35,173.2296,2026-01-02 07:00:00+00:00
1767339000000,88903.35,88921.12,88794.01,88857.61,214.34158,2026-01-02 07:30:00+00:00
1767340800000,88857.6,89099.98,88758.94,89062.45,239.41702,2026-01-02 08:00:00+00:00
1767342600000,89062.45,89200.0,89023.01,89178.13,197.36465,2026-01-02 08:30:00+00:00
